title,year,count,tmdb_id
Little Shop of Horrors,1986,3,10776
Llamageddon,2015,20,569957
Longlegs,2024,12,1226578
Lord of the Flies,1990,3,10847
Lumberjack Man,2015,24,356486
Lurking Woods,2015,11,549070
M3GAN,2023,7,536554
Ma,2019,5,502416
Madman,1978,11,191051
Magic,1978,3,34193
Malignant,2021,46,619778
Mandy,2018,13,460885
Manhunter,1986,10,11454
Maniac,1980,8,27346
Maniac,2012,8,103620
Maximum Overdrive,1986,39,9980
MaXXXine,2024,18,1023922
Mayhem,2017,21,429733
Midsommar,2019,12,530385
Mr. Crocket,2024,9,1317218
Mutant Chronicles,2008,310,13256
My Bloody Valentine,1981,16,39874
My Bloody Valentine 3D,2009,30,14435
My Soul to Take,2010,15,43931
New Year's Evil,1980,6,69165
Night of the Living Dead,1968,8,10331
NOPE,2022,61,762504
Nosferatu: A Symphony of Horror,1922,17,653
Old,2021,11,631843
Opera,1987,12,20115
Orgasmo,2005,4,1515541
Orphan,2009,3,21208
Orphan: First Kill,2022,7,760161
Out of the Dark,1988,8,30652
Parasite,2019,4,496243
Pearl,2022,4,949423
Pet Sematary,1989,8,8913
Pet Sematary Two,1992,6,10906
PG: Psycho Goreman,2020,76,670428
Phenomena,1985,9,29161
Pieces,1982,7,47886
Pilgrim,2019,14,643866
Plan 9 from Outer Space,1959,7,10513
Pontypool,2008,28,23963
Poultrygeist: Night of the Chicken Dead,2006,188,17287
Predator,1987,76,106
Predator 2,1990,45,169
Predator: Killer of Killers,2025,109,1376434
Predators,2010,16,34851
President's Day,2010,20,130165
Prey,2022,32,766507
Prom Night,1980,8,36599
Prometheus,2012,15,70981
Psycho,1960,26,539
Psychotic!,2016,16,500957
Puppet Master,1989,7,26953
Puppet Master II,1990,10,26954
Quarantine,2008,23,13812
Quarantine 2: Terminal,2011,20,59115
Rawhead Rex,1986,23,13511
Re-Animator,1985,8,1694
Ready or Not,2019,15,567609
Red Dragon,2002,9,9533
Resident Evil: Apocalypse,2004,123,1577
Resident Evil: Extinction,2007,124,7737
Return of the Living Dead,1985,4038,10925
Return to Sleepaway Camp,2008,9,35626
Revenge,2017,3,467938
Rhyme Slaya,2016,26,825193
Ring (Ringu),1998,7,2671
Robot Monster,1953,4000000001,43353
Rottweiler,2004,16,12532
Rubber,2010,37,45649
Salem's Lot,2024,45,748230
Santa's Slay,2005,41,12591
Saw,2004,6,176
Saw 3D,2010,27,41439
Saw II,2005,9,215
Saw III,2006,9,214
Saw IV,2007,10,663
Saw V,2008,6,11917
Saw VI,2009,13,22804
Saw X,2023,4,951491
Scanners,1981,26,9538
Scary Stories to Tell in the Dark,2019,4,417384
Scream,1996,7,4232
Scream,2022,8,646385
Scream 2,1997,10,4233
Scream 3,2000,10,4234
Scream 4,2011,15,41446
Scream VI,2023,13,934433
Screamers,1995,62,9102
Sea of Fear,2006,6,114176
See No Evil,2006,32,10007
Seed of Chucky,2004,14,11249
Serial Mom,1994,7,11592
Seven Murders for Scotland Yard,1972,14,28402
Severance,2006,28,5072
Shaun of the Dead,2004,51,747
Silent Madness,1984,15,42710
Silent Night,2012,17,139455
"Silent Night, Deadly Night",1984,13,27414
"Silent Night, Deadly Night 3: Better Watch Out!",1989,8,42709
"Silent Night, Deadly Night 4: Initiation",1990,5,59762
"Silent Night, Deadly Night 5: The Toy Maker",1991,5,70984
"Silent Night, Deadly Night Part 2",1987,13,50719
Silent Rage,1982,10,27150
Sinister,2012,20,82507
Sinister 2,2015,21,283445
Sinners,2025,134,1233413
Sleepaway Camp,1983,12,13567
Sleepaway Camp II: Unhappy Campers,1988,18,34311
Sleepaway Camp III: Teenage Wasteland,1989,16,34312
Slender Man,2018,8,439015
Slither,2006,127,9035
Slugs,1988,11,28452
Slumber Party Massacre II,1987,7,27764
Slumber Party Massacre III,1990,12,27767
Smile,2022,5,882598
Smile 2,2024,7,1100782
Society,1989,2,22244
Spiral: From the Book of Saw,2021,8,602734
Splinter,2022,11,1003821
Spookies,1986,16,26679
Spree,2020,12,653598
Stay Alive,2006,38,10069
Stepfather II,1989,5,30666
Stitches,2012,6,115210
Student Bodies,1981,15,21515
Studio 666,2022,15,895744
Suspiria,1977,9,11906
Suspiria,2018,14,361292
Sweeney Todd: The Demon Barber of Fleet Street,2007,11,13885
Sweeney Todd: The Demon Barber of Fleet Street,1995,12,1304433
Tales from the Hood,1995,13,25066
Tales from the Hood 2,2018,13,470614
Tales from the Hood 3,2020,12,739123
Tales of Halloween,2015,42,306964
Talk to Me,2022,3,1008042
Tammy and the T-Rex,1994,10,55563
Terrifier,2016,8,420634
Terrifier 2,2022,27,663712
Terrifier 3,2024,23,1034541
Terror Train,1980,10,40969
TerrorVision,1986,12,24194
Texas Chainsaw 3D,2013,18,76617
Texas Chainsaw Massacre,2022,38,632727
Texas Chainsaw Massacre: The Next Generation,1995,6,16780
Thanksgiving,2023,12,1071215
ThanksKilling,2007,10,60366
ThanksKilling 3,2012,14,140750
The Abominable Dr. Phibes,1971,10,17965
The Babadook,2014,8,242224
The Babysitter,2017,8,419479
The Babysitter: Killer Queen,2020,18,623491
The Banana Splits Movie,2019,27,608654
The Belko Experiment,2016,84,341006
The Beyond,2018,71,449575
The Birds,1963,3,571
The Black Phone,2021,7,756999
The Blackening,2023,6,1008392
The Blair Witch Project,1999,3,2667
The Burning,1981,10,24124
The Cabin in the Woods,2012,56,22970
The Church,2018,67,309885
The Clown at Midnight,1998,9,85230
The Collection,2012,287,134597
The Collector,2009,8,21407
The Comeback,1989,4,529508
The Conference,2023,11,1161048
The Dark Half,1993,9,10349
The Dentist,1996,3,9568
The Dentist 2,1998,5,37526
The Descent,2005,15,9392
The Descent Part 2,2009,17,34480
The Devil's Rejects,2005,20,1696
The Evil Dead,1981,8,764
The Exorcist,1973,3,9552
The Exorcist III,1990,8,11587
The Final,2010,11,34583
The Final Destination,2009,61,19912
The First Power,1990,26,41374
The First Purge,2018,133,442249
The Fly 2,1989,8,10344
The Fog,1980,6,790
The Forever Purge,2021,143,602223
The Frighteners,1996,27,10779
The Gore Gore Girls,1972,6,28170
The Hand,1981,4,42149
The Hills Have Eyes,1977,8,12262
The House by the Cemetery,1981,6,28794
The House with Laughing Windows,1976,8,57447
The Hunt,2020,22,514847
The Invisible Man,1933,105,10787
The Invisible Man,2020,5,570670
The Lighthouse,2019,4,503919
The Lost Boys,1987,14,1547
The Lost World: Jurassic Park,1997,15,330
The Machine Girl,2008,25,13964
The Mean One,2022,20,1033052
The Meg,2018,21,345940
The Menu,2022,35,593643
The Mist,2007,34,5876
The Mother of Tears,2007,54,15206
The Mouse Trap,2024,10,1225377
The Mummy,1932,22,15849
The Mummy,1999,203,564
The Mutilator,1984,8,40451
The Night Evelyn Came Out of the Grave,1971,5,42499
The Nun,2018,22,439079
The Omen,2006,8,806
The Police Are Blundering in the Dark,1972,4,105429
The Poughkeepsie Tapes,2007,3639,38410
The Predator,2018,58,346910
The Prowler,1981,8,44247
The Psychopath,1966,7,74397
The Purge,2013,47,158015
The Purge: Anarchy,2014,65,238636
The Purge: Election Year,2016,116,316727
The Rage: Carrie 2,1999,27,7341
The Shining,1980,4,694
The Signal,2007,78,13059
The Silence of the Lambs,1991,10,274
The Slumber Party Massacre,1982,12,27475
The Stepfather,1987,6,25155
The Strangers,2008,2,10665
The Strangers: Prey at Night,2018,8,371608
The Stuff,1985,30,18502
The Substance,2024,4,933260
The Suspicious Death of a Minor,1975,11,80067
The Terminator,1984,40,218
The Texas Chain Saw Massacre,1974,5,30497
The Texas Chainsaw Massacre,2003,8,9373
The Texas Chainsaw Massacre 2,1986,8,16337
The Texas Chainsaw Massacre: The Beginning,2006,11,10781
The Thing,1982,12,1091
The Thing,2011,13,60935
The Toolbox Murders,1978,8,27495
The Toxic Avenger,1984,21,15239
The Tripper,2006,29,9847
The Witch,2015,6,310131
The Wolf Man,1941,4,13666
The Wolfman,2010,28,7978
There's Someone Inside Your House,2021,8,512025
They're Playing with Fire,1984,7,84997
Thirteen Ghosts,2001,12,9378
Three Tears on Bloodstained Flesh,2017,20,463767
Thriller,2018,8,541100
Too Beautiful to Die,1988,6,85171
Too Many Cooks,2014,16,301566
Torso,0,11,1597594
Totally Killer,2023,7,974931
Tourist Trap,1979,6,13570
Trailer Park of Terror,2008,16,20016
Train to Busan,2016,166,396535
Trauma,1978,5,28487
Treevenge,2008,8,79329
Tremors,1990,14,9362
Tremors 2: Aftershocks,1996,73,11069
Tremors 3: Back to Perfection,2001,85,10829
Tremors 4: The Legend Begins,2004,18,10891
Tremors 5: Bloodlines,2015,22,339530
Tremors: A Cold Day in Hell,2018,23,496704
Tremors: Shrieker Island,2020,25,670266
Trick 'r Treat,2007,27,23202
Troll 2,1990,14,26914
Truth or Dare,2018,8,460019
Tucker & Dale vs. Evil,2010,13,46838
Tusk,2014,6,246403
Uncle Sam,1996,16,9680
Unfriended,2014,6,277685
Unfriended: Dark Web,2018,10,505058
Unmasked Part 25,1989,16,108878
Upgrade,2018,15,500664
Urban Legend,1998,10,9877
Urban Legends: Bloody Mary,2005,7,10292
Urban Legends: Final Cut,2000,7,12212
Us,2019,66,458723
V/H/S,2012,22,84348
V/H/S/2,2013,59,159117
V/H/S/85,2023,35,1032948
V/H/S/94,2021,53,753453
V/H/S/99,2022,33,1005776
V/H/S/Beyond,2024,72,1190868
V/H/S: Viral,2014,49,267806
Valentine,2001,9,10984
Van Helsing,2004,204,7131
Varsity Blood,2014,15,286452
Videodrome,1983,7,837
Vile,2011,11,132064
Viy,1967,2,57230
Watch Me When I Kill,1977,9,40261
Weapons,2025,5,1078605
Wes Craven's New Nightmare,1994,5,11596
When Evil Lurks,2023,16,744857
Willy's Wonderland,2021,42,643586
Winnie the Pooh: Blood and Honey,2023,13,980078
Winnie-the-Pooh: Blood and Honey 2,2024,66,1079485
Wishmaster,1997,39,10351
Wishmaster 2,1999,227,12594
Wolf Creek,2005,5,9885
Would You Rather,2012,9,97051
Wrong Turn,2003,10,9902
Wrong Turn,2021,15,630586
Wrong Turn 2: Dead End,2007,13,13186
Wrong Turn 3: Left for Dead,2009,15,23823
Wrong Turn 4: Bloody Beginnings,2011,13,71672
Wrong Turn 5: Bloodlines,2012,10,125509
Wrong Turn VI: Last Resort,2014,11,259072
X,2022,8,760104
You'll Die at Midnight,1986,9,29191
You're Next,2011,15,83899
Zombieland,2009,116,19908
Zombieland: Double Tap,2019,376,338967
